uuid,pr_0,w_pr_0,in_deg_0,out_deg_0,tri_0,pr_1,w_pr_1,in_deg_1,out_deg_1,pr_2,w_pr_2,kc_2,in_deg_2,out_deg_2,tri_2,spath_top_3_0,spath_top_3_1,spath_top_3_2,spath_top_3_3,spath_top_3_4,spath_top_min_3,w_spath_top_3_0,w_spath_top_3_1,w_spath_top_3_2,w_spath_top_3_3,w_spath_top_3_4,w_spath_top_min_3,kc_3,in_deg_3,out_deg_3,spath,w_spath
cba5e64b-3b3d-44da-9b5c-87f55f8fe9ff,0.405,0.622850484375,6,0,0,1.441651026258466,0.622850484375,6,6,0.405,0.622850484375,3,6,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,5,6,6,0.0,0.0
92bdadf2-a9ca-4815-8fbd-60898dee9368,0.16694602627449187,0.2775,2,0,0,0.41598013714227977,0.2775,2,2,0.16698169941471572,0.2775,2,2,0,0,3.0,5.0,4.0,5.0,4.0,3.0,21.0,17.0,12.0,17.0,20.0,12.0,4,2,2,0.0,0.0
b087e988-ffa6-4eb1-9249-6fe18ccd80e1,0.23925,0.47799375,4,0,0,0.7901801506532636,0.47799375,4,4,0.23925,0.47799375,3,4,0,0,3.0,5.0,5.0,5.0,5.0,3.0,19.0,14.0,13.0,15.0,18.0,13.0,5,4,4,0.0,0.0
547c7191-ee93-4edc-b32c-05cf51a06e72,0.1925,0.2775,2,2,3,0.5712282239594334,0.47799375,4,4,0.1925,0.2775,4,2,2,3,3.0,4.0,4.0,4.0,4.0,3.0,18.0,14.0,10.0,13.0,16.0,10.0,5,4,4,0.0,0.0
55d67b0e-1aa5-f760-0b92-85caae187133,0.1682142857142857,0.15,1,0,0,0.3014452336320053,0.15,1,1,0.1682142857142857,0.15,1,1,0,0,5.0,6.0,6.0,7.0,6.0,5.0,24.0,19.0,17.0,17.0,20.0,17.0,2,1,1,0.0,0.0
3a340782-6cbb-fe0a-a393-62be4b257eee,0.15,0.0,0,1,0,0.2284971062177203,0.15,1,1,0.15,0.0,1,0,1,0,4.0,4.0,4.0,5.0,5.0,4.0,23.0,17.0,16.0,16.0,20.0,16.0,2,1,1,3.0,10.0
6febb010-e6f0-a6c4-2283-44e954980ba0,0.16917610225831392,0.47799375,4,0,0,0.5139914621860278,0.47799375,4,4,0.17055233435468065,0.47799375,4,4,0,0,1.0,3.0,3.0,3.0,3.0,1.0,17.0,10.0,10.0,13.0,15.0,10.0,5,4,4,0.0,0.0
063cc4a0-ebf1-4aa4-b662-e13cc206ca25,0.2265,0.385875,3,0,0,0.6053352186791595,0.385875,3,3,0.2265,0.385875,3,3,0,0,6.0,6.0,6.0,6.0,6.0,6.0,19.0,14.0,13.0,13.0,18.0,13.0,5,3,3,4.0,6.0
409500ac-f17a-91cf-1697-9a8058c3a66b,0.30036780943481023,0.622850484375,6,0,0,1.0399177887558038,0.622850484375,6,6,0.3029542699006469,0.622850484375,3,6,0,0,3.0,5.0,5.0,4.0,5.0,3.0,21.0,19.0,16.0,17.0,22.0,16.0,5,6,6,0.0,0.0
0f0b6091-70d7-7619-7ccd-2d854a5a2780,0.405,0.2775,2,0,0,1.4416510262584663,0.49425,2,2,0.405,0.2775,1,2,0,0,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,1e+30,2,2,2,0.0,0.0
